name,address,city,country,postcode,state,categories,menu item,item value,currency,item description
Brigham Young University,1 N University Hl,Provo,US,84602,UT,"University,University University",Pizza Bagel,,,1 each (149.18 g)
Luke's Locker,9595 Six Pines Dr,Spring,US,77380,TX,"Sporting Goods Shop,Shoe Store,Sporting Goods Shop and Shoe Store Town Center,Sporting Goods Shop and Shoe Store,Sportswear,Shoe Stores,Running Stores,Clothing Stores,Sporting Goods",Pizza Con Uovo Fritto,,,
Francesca's On Chestnut,200 E Chestnut St,Chicago,US,60611,Ontario Street,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Pizza Margherita,10.99,USD,
Francesca's On Chestnut,200 E Chestnut St,Chicago,US,60611,Ontario Street,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Pizza Margherita,10.99,USD,
Francesca's On Chestnut,200 E Chestnut St,Chicago,US,60611,Ontario Street,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Pizza Schiacchiata Alla Toscana,,,
Francesca's On Chestnut,200 E Chestnut St,Chicago,US,60611,Ontario Street,"Italian Restaurant,Restaurant,Italian Restaurant Streeterville",Pizza Schiacchiata Alla Toscana,,,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with pepperoni
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with mushroom
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel,,USD,with pepperoni & mushroom
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel (plain),2.59,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Mushroom,3.29,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Pepperoni,3.29,USD,
Country Bagel Bakery,145 E Gay St,West Chester,US,19380,PA,"Bagels,Bakeries,Restaurants,Restaurant,Breakfast Brunch & Lunch Restaurants,,Bagel Shop,Breakfast Spot,Coffee Shop",Pizza Bagel With Pepperoni and Mushroom,3.59,USD,
Buca Di Beppo - San Jose - Oakridge,925 Blossom Hill Road Oakridge Mall,San Jose,US,95123,CA,Restaurant,Pizza Con Formaggio,,,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Bbq Chicken Pizza,8.99,USD,"BBQ Sauce, Mozzarella Cheese, diced Chicken Breast, Onions"
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Breakfast Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Cadillac Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Hawaiin Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Pesto Chicken Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Pizza Bread,4.59,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Southwest Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Thai Chicken Pizza,8.99,USD,
Giovanni's Pizza and Pasta,26900 Newport Rd,Menifee,US,92584,CA,"Italian Restaurant,Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurant and Pizza Place,Pizza,doctor",Vegetarian Pizza,8.99,USD,
Uncle John's Pizza,3480 S Carrier Pkwy,Grand Prairie,US,75052,TX,"Restaurants,Pizza Place Southwest Dallas,Pizza Place",Bbq Pizza,,,
Uncle John's Pizza,3480 S Carrier Pkwy,Grand Prairie,US,75052,TX,"Restaurants,Pizza Place Southwest Dallas,Pizza Place",Create Your Own Pizza,,,
Philly's Subs,2111 Stewart Ave,Wausau,US,54401,WI,Sandwich Place,Pizza,4.99,USD,"Pepperoni, marinara, garlic, seasoning and parmesan cheese"
Satsuma,1707 Delaware Ave,Wilmington,US,19806,DE,"Asian Restaurant,Asian Restaurant Forty Acres",Tuna Pizza,12,USD,
Satsuma,1707 Delaware Ave,Wilmington,US,19806,DE,"Asian Restaurant,Asian Restaurant Forty Acres",Tuna Pizza,12,USD,
Gatehouse Restaurant,116 Ann St,Pickens,US,29671,SC,"Family Style Restaurants,Restaurants,Restaurant",Small Pepperoni or Cheese Pizza,2.99,USD,
Imo's Pizza,2000 El Lago Dr,Arnold,US,63010,MO,"Pizza,Delicatessens,Take Out Restaurants,Restaurants,Pizza Place",Bbq Chicken Pizza,,,
Imo's Pizza,2000 El Lago Dr,Arnold,US,63010,MO,"Pizza,Delicatessens,Take Out Restaurants,Restaurants,Pizza Place",Cheese Pizza,,,
Imo's Pizza,2000 El Lago Dr,Arnold,US,63010,MO,"Pizza,Delicatessens,Take Out Restaurants,Restaurants,Pizza Place",Deluxe Pizza,,,
Imo's Pizza,2000 El Lago Dr,Arnold,US,63010,MO,"Pizza,Delicatessens,Take Out Restaurants,Restaurants,Pizza Place",Meat Pizza,,,
Imo's Pizza,2000 El Lago Dr,Arnold,US,63010,MO,"Pizza,Delicatessens,Take Out Restaurants,Restaurants,Pizza Place",Vegetable Pizza,,,
Applebee's Tracy,3060 Naglee Rd,Tracy,US,95304,CA,American Restaurant,Cheesy Bread Pizza (full),,,
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,US,77506,TX,Pizza Place,3 Meat Treat Pizza,8,USD,"Our original round pizza topped with pepperoni, sausage and bacon."
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,US,77506,TX,Pizza Place,Deep Dish Pizza,7,USD,
Little Caesars Pizza,2619 Red Bluff Kroger Jct,Pasadena,US,77506,TX,Pizza Place,Ultimate Supreme Pizza,9,USD,"Our original round pizza topped with pepperoni, Italian sausage, mushroom, onion, and green pepper."
Joey's N Y Pizza,11165 S Eastern Ave,Henderson,US,89052,NV,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Garden Pizza,19.99,USD,"Broccoli, spinach, peppers and mushrooms"
Joey's N Y Pizza,11165 S Eastern Ave,Henderson,US,89052,NV,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Margarita Pizza,18.99,USD,
Joey's N Y Pizza,11165 S Eastern Ave,Henderson,US,89052,NV,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",Supreme Pizza,21.99,USD,"Sausage, pepperoni, meatballs, peppers, onions, black olives, mushrooms"
Joey's N Y Pizza,11165 S Eastern Ave,Henderson,US,89052,NV,"Pizza Place,Pizza,Take Out Restaurants,Caterers,Italian Restaurants,Restaurants",White Pizza,16.99,USD,"Fresh mozzarella, fresh parmesan and fresh garlic"
Keyme,21100 91st Pl S,Kent,US,98031,WA,"Keymakers,Locks & Locksmiths",Pizza Toppings,1.75,USD,"Italian pepperoni, hot italian sausage, fresh ground western beef, cob smoked bacon, marinated chicken breast, new england baked ham anchovy filets, fresh plum tomatoes, freshly cut broccoli, fresh white mushrooms, fresh green spinach, freshly sliced eggplant, freshly sliced red onions, freshly sliced green peppers, marinated sun dried tomatoes, sliced jalapeno peppers, roasted red peppers, freshly chopped garlic, california black olives, sweet hawaiian pineapple, marinated artichoke hearts, scrambled eggs new, italian gorgonzola cheese, greek feta cheese, vegan soy cheese, grated parmesan cheese, flavorful four cheese blend"
Tower Hill Tavern,264 Lakeside Ave,Laconia,US,3246,Weirs Beach,"Restaurants,Bars & Pubs",Pizza,15,USD,
Brio Tuscan Grille - Southlake - Southlake Town Square,1431 Plaza Pl,Southlake,US,76092,TX,Restaurant,Sausage Onion Jam Pizza,8.95,USD,"Boursin, mozzarella, arugula, parmesan"
Doubledave's Pizza Works,3505 A Longmire Dr,College Station,US,77845,TX,"Restaurant,Pizza Place",Cheese Pizza,13.99,USD,
Doubledave's Pizza Works,3505 A Longmire Dr,College Station,US,77845,TX,"Restaurant,Pizza Place",Chocolate Chip Pizza,3.99,USD,
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",B.l.t. Pizza,,,"Bacon , lettuce, tomato, mayo, ranch"
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",Bbq Chicken Pizza,,,"Bbq sauce, chicken, red onions"
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",Buffalo Chicken Pizza,,,"Hot sauce, chicken, ranch dressing,  blue cheese"
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",Margherita Pizza,,,Fresh mozzarella and basil
Frank's Pizzeria,711 N 132nd St,Omaha,US,68154,NE,"Pizza Place,Take Out Restaurants,Restaurants,Pizza",White Pizza,16.24,USD,"Mozzarella, ricotta, garlic, no sauce"
Casino's Pizza,190 N Swift Rd,Addison,US,60101,IL,"Pizza Place,Restaurant",Cheese Pizzarito,6.7,USD,"Our backed light crust, stuffed and folded with our freshest ingredients, basted with garlic butter, sprinkled with romano cheese and parsley"
Casino's Pizza,190 N Swift Rd,Addison,US,60101,IL,"Pizza Place,Restaurant",Pizza Slices,2.76,USD,Served all day
Glutenfree Things,11651 W 64th Ave,Arvada,US,80004,CO,"Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada",Pizza Dough Balls,7.99,USD,
Glutenfree Things,11651 W 64th Ave,Arvada,US,80004,CO,"Bakery,Bakery Restaurants,Food Products Retail,Variety Stores,Organic Foods & Products,Bakeries,Restaurant,Bakery Northwest Arvada",Pizza Dough Flats,7.99,USD,
Mediterraneo Ristorante,22 Englar Rd,Westminster,US,21157,MD,Italian Restaurant,Margherita Pizza,15.95,USD,
Patrick Molloy's Sports Pub,50a,Hermosa Beach,US,90254,CA,"Pub,Sports Bar",Build Your Own Pizza,9.75,USD,
Patrick Molloy's Sports Pub,50a,Hermosa Beach,US,90254,CA,"Pub,Sports Bar",Build Your Own Pizza,11.5,USD,
Patrick Molloy's Sports Pub,50a,Hermosa Beach,US,90254,CA,"Pub,Sports Bar",Cheese Pizza,3,USD,
Salerno's Pizza Restaurant,19 Kelly St,Luzerne,US,18709,PA,"Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza",Chicken Wing Pizza,13.95,USD,Mild or hot
Salerno's Pizza Restaurant,19 Kelly St,Luzerne,US,18709,PA,"Pizza Place,Take Out Restaurants,Restaurants,Italian Restaurants,Pizza",Neapolitan Style Pizza,9.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Blt Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Cheese Pizza,11.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Cheese Pizza,11.95,USD,Classic cheese or create your own pizza.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Cheese Pizza Slice,2,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Cheesesteak Stuffed Cheese Pizza,22.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Cheesesteak Stuffed Cheese Pizza,22.95,USD,With beef or chicken in double crust pizza.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Chicken Alfredo Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Chicken Parmigiana Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Chicken Wing Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Chicken Wing Pizza,19.95,USD,"Hot sauce, celery, grilled chicken and bleu cheese."
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Margherita Pizza,15.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Margherita Pizza,15.95,USD,Brooklyn style. Square thick pan pizza.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Old Fashion Pizza,15.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Old Fashion Pizza,15.95,USD,No cheese on it. Square thick pan pizza.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Old Fashion Tomato Pizza,12.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Old Fashion Tomato Pizza,12.95,USD,No cheese.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Pizza Fries,4.25,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Pizza Steak Sub,7.25,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Rancher Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Rancher Pizza,19.95,USD,"Bacon, chicken, green peppers, chopped tomatoes and cheddar cheese."
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Sicilian Pizza,15.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Sicilian Pizza,15.95,USD,Classic cheese or create your own square thick pan sicilian pizza.
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Taco Pizza,19.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Taco Pizza,19.95,USD,"Lettuce, tomatoes, ground beef and cheddar cheese."
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Trenton Tomato Pizza,14.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",Trenton Tomato Pizza,14.95,USD,"Cheese on bottom, plum tomatoes on top."
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",White Pizza,11.95,USD,
Nino's Trattoria & Pizzeria,111 Lawrence Rd,Lawrence Township,US,8648,Lawrenceville,"Pizza Place,Italian Restaurant,Restaurants,Pizza Place and Italian Restaurant",White Pizza,11.95,USD,Classic cheese or create your own pizza.
Oceano Bistro - Clayton,44 N Brentwood,Saint Louis,US,63105,MO,Restaurant,Cheese Pizza,5,USD,
Brothers 2,2901 Watson Blvd,Endicott,US,13760,Crestview Heights,"Italian Restaurant, Pizza Place, and Bar,catering companies",Pizza,9.5,USD,
Brothers 2,2901 Watson Blvd,Endicott,US,13760,Crestview Heights,"Italian Restaurant, Pizza Place, and Bar,catering companies",Pizza Skins,,,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Half Pizzas,5.99,USD,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",M.y.o.p Make Your Own Pizza,,,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Make Your Own Pizza,,,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Mini Cheese and Tomato Deep Dish Pizza,2.99,USD,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Mini Cheese or Pepperoni Thin Crust Pizza,2.99,USD,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Pizza of The Day,8.99,USD,
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Pizza Skins,2.99,USD,"Deep dish crust filled with red bliss mashed potatoes. topped with bacon, cheddar and sour cream"
Uno Pizzeria & Grill - Sturbridge,100 Charlton Rd,Sturbridge,US,1566,MA,"American Restaurant, Pizza Place, and Gluten-free Restaurant,American Restaurant,Pizza Place,Gluten-free Restaurant",Thin Crust or Deep Dish Pizza,,,Cheese or pepperoni
Doubledave's Pizzaworks,401 E Whitestone Blvd,Cedar Park,US,78613,TX,Pizza Place,Cheese Pizza,5.99,USD,
Doubledave's Pizzaworks,401 E Whitestone Blvd,Cedar Park,US,78613,TX,Pizza Place,Chocolate Chip Pizza,3.99,USD,
Buon Cibo,2631 Mcingvale Rd,Hernando,US,38632,MS,"Food and Beverage,Restaurant",Byo Pizza,7,USD,
Buon Cibo,2631 Mcingvale Rd,Hernando,US,38632,MS,"Food and Beverage,Restaurant",Cheese Pizza,4.75,USD,
Buon Cibo,2631 Mcingvale Rd,Hernando,US,38632,MS,"Food and Beverage,Restaurant",Pepperoni Pizza,4.75,USD,
Tomato & Basil,1876 Black Rock Tpke,Fairfield,US,6825,CT,"Pizza Place,Italian Restaurants,Pizza,Mediterranean Restaurants,Restaurants",Cheese Pizza,7.99,USD,
Tomato & Basil,1876 Black Rock Tpke,Fairfield,US,6825,CT,"Pizza Place,Italian Restaurants,Pizza,Mediterranean Restaurants,Restaurants",Rollatini Pizza,10.99,USD,"Breaded eggplant, ricotta cheese, basil, tomato sauce and fresh mozzarella"
Blockbuster,1310 N W 23rd Ave,Gainesville,US,32605,FL,"Video Rental & Sales,Video Games,DVD Sales & Service",Pizza Sub,4.25,USD,
Stissing House,7801 S Main St,Pine Plains,US,12567,Mount Ross,"Taverns,Bars,Caterers,Bar & Grills,Family Style Restaurants,Restaurants,Bars & Clubs,Bars & Pubs,Catering,Beer Taverns & Pubs",Pizza of The Day,,,priced accordingly
Larosa's Pizzeria,901 Loveland Madeira Rd,Loveland,US,45140,Murdock,Pizza Place,Kids Size Pizza,4.39,USD,
Mario's - Staten Island,1657 Richmond Rd,Staten Island,US,10304,NY,Restaurant,Brick Oven Pizza Al Metro,,,
Mario's - Staten Island,1657 Richmond Rd,Staten Island,US,10304,NY,Restaurant,Fried Pizza,,,
Mario's - Staten Island,1657 Richmond Rd,Staten Island,US,10304,NY,Restaurant,Pork Tenderloin Pizzaiola,,,
The Lookout Catering,8680 Pineview Ln N,Osseo,US,55369,Hassan,"Sports Bar, Bar, and American Restaurant",Cheese Pizza,,,
The Lookout Catering,8680 Pineview Ln N,Osseo,US,55369,Hassan,"Sports Bar, Bar, and American Restaurant",Pepperoni Pizza,,,
Boston's Restaurant & Sports Bar,14004 E Indiana Ave,Spokane,US,99216,City Of Spokane Valley,"Pizza Place,Restaurant,American Restaurant",Eggscellent Pizza (white),10.75,USD,
Ristorante Italiano,555 Soquel Ave,Santa Cruz,US,95062,CA,"Caterers,Restaurants,Take Out Restaurants,Italian Restaurants,Fast Food Restaurants,Mediterranean Restaurants,Seafood Restaurants,Italian Restaurant",Mini Pizza,5.99,USD,
Zios Italian Kitchen - Olathe,11981 S Strang Line Rd,Olathe,US,66062,KS,Italian Restaurant,Artichoke Chicken Pizza,8.79,USD,"Creamy artichoke spinach sauce, featuring bacon, is topped with sliced chicken breast, fresh tomatoes, artichokes, mozzarella and cheddar cheese."
Zios Italian Kitchen - Olathe,11981 S Strang Line Rd,Olathe,US,66062,KS,Italian Restaurant,Barbecue Chicken Pizza,8.79,USD,"Sweet bbq sauce topped with bbq chicken breast, bacon, red onions and mozzarella and gouda cheeses. garnished with cilantro and crispy onions."
Zios Italian Kitchen - Olathe,11981 S Strang Line Rd,Olathe,US,66062,KS,Italian Restaurant,California Pizza,8.99,USD,"Alfredo sauce, sliced grilled chicken breast, bacon, fresh mushrooms, spinach and roma tomatoes. topped with mozzarella and smoked gouda cheeses."
Zios Italian Kitchen - Olathe,11981 S Strang Line Rd,Olathe,US,66062,KS,Italian Restaurant,Chicken Club Pizza,8.79,USD,"Homestyle tomato sauce, sliced chicken breast,   bacon and fresh roma tomatoes topped with smoked   provolone, mozzarella and cheddar cheeses."
